Field	Type	Null	Key	Default	Extra
zipcode	char(5)	NO	MUL	NULL	
state	char(2)	YES		NULL	
population	bigint(20)	YES		NULL	
housingunits	bigint(20)	YES		NULL	
landareameters	bigint(20)	YES		NULL	
waterareameters	bigint(20)	YES		NULL	
landareamiles	double	YES		NULL	
waterareamiles	double	YES		NULL	
latitude	double	YES		NULL	
longitude	double	YES		NULL	
numstates	bigint(20)	YES		NULL	
state1	char(2)	YES		NULL	
state2	char(2)	YES		NULL	
state3	char(2)	YES		NULL	
partpop1	bigint(20)	YES		NULL	
partpop2	bigint(20)	YES		NULL	
partpop3	bigint(20)	YES		NULL	
pop	bigint(20)	YES		NULL	
popedu	bigint(20)	YES		NULL	
hh	bigint(20)	YES		NULL	
fam	bigint(20)	YES		NULL	
hhunits	bigint(20)	YES		NULL	
hhuoccupied	bigint(20)	YES		NULL	
purban	double	YES		NULL	
pinurbanarea	double	YES		NULL	
pinurbancluster	double	YES		NULL	
prural	double	YES		NULL	
pruralfarm	double	YES		NULL	
pruralnonfarm	double	YES		NULL	
pracewhite	double	YES		NULL	
praceblack	double	YES		NULL	
praceamerind	double	YES		NULL	
praceasian	double	YES		NULL	
pracepacind	double	YES		NULL	
praceother	double	YES		NULL	
pracemulti	double	YES		NULL	
hhperson1	double	YES		NULL	
hhperson1m	double	YES		NULL	
hhperson1f	double	YES		NULL	
hhperson2pl	double	YES		NULL	
hhperson2family	double	YES		NULL	
hhperson2married	double	YES		NULL	
hhperson2marriedkids	double	YES		NULL	
hhperson2marriedonly	double	YES		NULL	
hhperson2other	double	YES		NULL	
hhperson2m	double	YES		NULL	
hhperson2mkids	double	YES		NULL	
hhperson2mnokids	double	YES		NULL	
hhperson2f	double	YES		NULL	
hhperson2fkids	double	YES		NULL	
hhperson2fnokids	double	YES		NULL	
hhperson2nonfamily	double	YES		NULL	
hhperson2mnonfamily	double	YES		NULL	
hhperson2fnonfamily	double	YES		NULL	
popedunone	double	YES		NULL	
popedunohs	double	YES		NULL	
popedusomehs	double	YES		NULL	
popeduhsgrad	double	YES		NULL	
popedusomecol	double	YES		NULL	
popeduassoc	double	YES		NULL	
popedubach	double	YES		NULL	
popedumast	double	YES		NULL	
popeduprofdoct	double	YES		NULL	
hhmedincome	double	YES		NULL	
hhssincome	double	YES		NULL	
hhnossincome	double	YES		NULL	
hhpubassist	double	YES		NULL	
hhnopubassist	double	YES		NULL	
faminc000_010	double	YES		NULL	
faminc010_015	double	YES		NULL	
faminc015_020	double	YES		NULL	
faminc020_025	double	YES		NULL	
faminc025_030	double	YES		NULL	
faminc030_035	double	YES		NULL	
faminc035_040	double	YES		NULL	
faminc040_045	double	YES		NULL	
faminc045_050	double	YES		NULL	
faminc050_060	double	YES		NULL	
faminc060_075	double	YES		NULL	
faminc075_100	double	YES		NULL	
faminc100_125	double	YES		NULL	
faminc125_150	double	YES		NULL	
faminc150_200	double	YES		NULL	
faminc200	double	YES		NULL	
fammedincome	double	YES		NULL	
hhuowner	double	YES		NULL	
hhuorenter	double	YES		NULL	
hhuo1per	double	YES		NULL	
hhuo2per	double	YES		NULL	
hhuo3per	double	YES		NULL	
hhuo4per	double	YES		NULL	
hhuo5per	double	YES		NULL	
hhuo6per	double	YES		NULL	
hhuo7per	double	YES		NULL	
hhumedianyear	bigint(20)	YES		NULL	
hhuofuelutilgas	double	YES		NULL	
hhuofuelbotgas	double	YES		NULL	
hhuofuelelec	double	YES		NULL	
hhuofueloil	double	YES		NULL	
hhuofuelcoal	double	YES		NULL	
hhuofuelwood	double	YES		NULL	
hhuofuelsolar	double	YES		NULL	
hhuofuelother	double	YES		NULL	
hhuofuelnone	double	YES		NULL	
hhuoplumbingcomplete	double	YES		NULL	
hhuoplumbinglacking	double	YES		NULL	
hhumediancashrent	double	YES		NULL	
hhunmarried	double	YES		NULL	
hhunmarriedmm	double	YES		NULL	
hhunmarriedmf	double	YES		NULL	
hhunmarriedff	double	YES		NULL	
hhunmarriedfm	double	YES		NULL	
hhother	double	YES		NULL	
